,DATE,Temp,Jax Solar,NW Jax,Old Plank,Starratt,Blair,Simmons,Old Kings,SunPort,DATEML_x,HOUR,AVG,STATION,REPORT_TYPE,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlyRelativeHumidity.1,HourlyRelativeHumidity.2,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,DATEML_y
0,2022-07-01,74.0,0,0,0,0,0,0,0,0,2022-07-01,0,0.0,72206013889,FM-15,7,30.08,72,74,0,0,0.03,8.0,94,94,94,30.08,FEW:02 18 SCT:04 120 BKN:07 250,30.04,10,73,0,0.0,0.0,2022-07-01
1,2022-07-01,74.0,0,0,0,0,0,0,0,0,2022-07-01,1,0.0,72206013889,FM-12,4,0.0,72,74,0,0,0.03,8.0,94,94,94,30.08,15,30.05,9.94,73,0,0.0,0.0,2022-07-01
2,2022-07-01,74.0,0,0,0,0,0,0,0,0,2022-07-01,1,0.0,72206013889,FM-15,7,30.07,72,74,0,0,0.0,0.0,94,94,94,30.06,FEW:02 25 SCT:04 160 BKN:07 250,30.03,10,73,0,0.0,0.0,2022-07-01
3,2022-07-01,73.0,0,0,0,0,0,0,0,0,2022-07-01,2,0.0,72206013889,FM-15,7,30.06,71,73,0,0,0.0,0.0,94,94,94,30.06,SCT:04 160 BKN:07 250,30.02,10,72,240,0.0,3.0,2022-07-01
4,2022-07-01,73.0,0,0,0,0,0,0,0,0,2022-07-01,3,0.0,72206013889,FM-15,7,30.06,71,73,0,0,0.02,5.0,94,94,94,30.06,FEW:02 160 SCT:04 250,30.02,10,72,0,0.0,0.0,2022-07-01
5,2022-07-01,72.0,0,0,0,0,0,0,0,0,2022-07-01,4,0.0,72206013889,FM-12,4,0.0,71,73,0,0,0.02,5.0,94,94,94,30.06,0,30.03,9.94,72,0,0.0,0.0,2022-07-01
6,2022-07-01,72.0,0,0,0,0,0,0,0,0,2022-07-01,4,0.0,72206013889,FM-15,7,30.06,71,72,0,0,0.0,0.0,97,97,97,30.06,FEW:02 40 FEW:02 160 SCT:04 250,30.02,10,71,0,0.0,0.0,2022-07-01
7,2022-07-01,73.0,0,0,0,0,0,0,0,0,2022-07-01,5,0.0,72206013889,FM-15,7,30.08,72,73,0,0,0.0,0.0,96,96,96,30.08,FEW:02 40 SCT:04 160 OVC:08 250,30.04,10,72,250,0.0,3.0,2022-07-01
8,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,6,0.0,72206013889,FM-15,7,30.09,73,75,0,0,-0.03,3.0,94,94,94,30.09,FEW:02 20 SCT:04 130 OVC:08 200,30.06,10,74,0,0.0,0.0,2022-07-01
9,2022-07-01,79.0,1,0,0,0,0,0,0,1,2022-07-01,7,0.5,72206013889,FM-12,4,0.0,73,75,0,0,-0.03,3.0,94,94,94,30.09,26,30.06,9.94,74,0,0.0,0.0,2022-07-01
10,2022-07-01,79.0,1,0,0,0,0,0,0,1,2022-07-01,7,0.5,72206013889,FM-15,7,30.09,73,79,0,0,0.0,0.0,82,82,82,30.09,FEW:02 130 BKN:07 200,30.06,10,75,280,0.0,7.0,2022-07-01
11,2022-07-01,83.0,2,3,1,1,1,0,0,3,2022-07-01,8,2.5,72206013889,FM-15,7,30.1,73,83,0,0,0.0,0.0,72,72,72,30.1,FEW:02 20 SCT:04 130 BKN:07 200,30.06,10,76,240,0.0,6.0,2022-07-01
12,2022-07-01,84.0,4,4,2,2,2,1,1,4,2022-07-01,9,4.0,72206013889,FM-15,7,30.09,73,84,0,0,-0.01,0.0,70,70,70,30.09,FEW:02 24 SCT:04 70 BKN:07 200,30.06,10,76,0,0.0,0.0,2022-07-01
13,2022-07-01,90.0,7,5,2,3,3,1,1,5,2022-07-01,10,6.0,72206013889,FM-12,4,0.0,73,84,0,0,0.01,9.0,70,70,70,30.09,26,30.06,9.94,76,0,0.0,0.0,2022-07-01
14,2022-07-01,90.0,7,5,2,3,3,1,1,5,2022-07-01,10,6.0,72206013889,FM-15,7,30.08,73,90,0,0,0.0,0.0,58,58,58,30.08,FEW:02 30 BKN:07 200,30.04,10,78,0,0.0,0.0,2022-07-01
15,2022-07-01,89.0,8,6,3,4,3,1,1,5,2022-07-01,11,7.0,72206013889,FM-15,7,30.06,73,89,0,0,0.0,0.0,59,59,59,30.06,BKN:07 43 BKN:07 200,30.02,10,78,30,0.0,6.0,2022-07-01
16,2022-07-01,91.0,8,5,2,3,2,1,1,4,2022-07-01,12,6.5,72206013889,FM-15,7,30.03,72,91,0,0,0.07,8.0,54,54,54,30.03,SCT:04 45 BKN:07 200,29.99,10,78,0,0.0,0.0,2022-07-01
17,2022-07-01,90.0,9,6,2,3,3,1,1,5,2022-07-01,13,7.5,72206013889,FM-12,4,0.0,72,91,0,0,0.07,8.0,54,54,54,30.03,41,30.0,9.94,78,0,0.0,0.0,2022-07-01
18,2022-07-01,90.0,9,6,2,3,3,1,1,5,2022-07-01,13,7.5,72206013889,FM-15,7,30.01,70,90,0,0,0.0,0.0,52,52,52,30.01,FEW:02 25 BKN:07 45 BKN:07 200,29.98,10,76,0,0.0,0.0,2022-07-01
19,2022-07-01,80.0,2,3,0,3,1,1,1,3,2022-07-01,14,2.5,72206013889,FM-16,7,30.01,73,81,T,|TS |DZ,0.0,0.0,77,77,77,0.0,FEW:02 25 SCT:04 45,29.98,10,75,160,0.0,11.0,2022-07-01
20,2022-07-01,80.0,2,3,0,3,1,1,1,3,2022-07-01,14,2.5,72206013889,FM-16,7,30.01,73,79,T,|TS |DZ,0.0,0.0,84,84,84,0.0,FEW:02 25 SCT:04 40,29.98,10,75,160,22.0,16.0,2022-07-01
21,2022-07-01,80.0,2,3,0,3,1,1,1,3,2022-07-01,14,2.5,72206013889,FM-15,7,30.01,74,80,T,|TS |DZ,0.0,0.0,82,82,82,30.01,FEW:02 25 SCT:04 40,29.98,10,76,150,0.0,15.0,2022-07-01
22,2022-07-01,77.0,4,2,1,2,1,1,0,3,2022-07-01,15,3.0,72206013889,FM-16,7,30.02,73,77,0.03,0,0.0,0.0,89,89,89,0.0,FEW:02 31 FEW:02 45 SCT:04 95,29.98,10,74,80,0.0,8.0,2022-07-01
23,2022-07-01,77.0,4,2,1,2,1,1,0,3,2022-07-01,15,3.0,72206013889,FM-15,7,30.01,73,77,0.03,|RA |DZ,0.01,5.0,88,88,88,30.01,FEW:02 31 FEW:02 45 SCT:04 95,29.98,10,74,80,0.0,10.0,2022-07-01
24,2022-07-01,77.0,3,1,1,0,1,1,1,3,2022-07-01,16,2.0,72206013889,FM-12,4,0.0,73,77,0,||RA,0.01,5.0,88,88,88,30.01,26,29.98,9.94,74,80,0.0,10.0,2022-07-01
25,2022-07-01,77.0,3,1,1,0,1,1,1,3,2022-07-01,16,2.0,72206013889,FM-16,7,30.02,74,77,T,|TS |DZ,0.0,0.0,90,90,90,0.0,FEW:02 25 SCT:04 40 BKN:07 110,29.98,10,75,50,0.0,3.0,2022-07-01
26,2022-07-01,77.0,3,1,1,0,1,1,1,3,2022-07-01,16,2.0,72206013889,FM-15,7,30.05,74,77,T,|TS |DZ,0.0,0.0,90,90,90,30.05,FEW:02 25 SCT:04 50,30.01,10,75,290,0.0,7.0,2022-07-01
27,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,17,0.0,72206013889,FM-16,7,30.05,75,76,T,|TS |DZ,0.0,0.0,97,97,97,0.0,FEW:02 25 SCT:04 50,30.01,1.75,75,300,0.0,7.0,2022-07-01
28,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,17,0.0,72206013889,FM-16,7,30.04,74,75,0.18,TS:7 RA:02 BR:1 |RA TS |RA,0.0,0.0,96,96,96,0.0,FEW:02 25 BKN:07 40 OVC:08 65,30.01,2.5,74,0,0.0,0.0,2022-07-01
29,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,17,0.0,72206013889,FM-16,7,30.05,74,75,0.22,TS:7 -RA:02 BR:1 |RA TS |RA,0.0,0.0,96,96,96,0.0,FEW:02 25 BKN:07 40 OVC:08 65,30.01,4,74,160,0.0,3.0,2022-07-01
30,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,17,0.0,72206013889,FM-15,7,30.06,74,75,0.29,|TS |RA,0.0,0.0,96,96,96,30.06,FEW:02 25 SCT:04 44,30.02,4,74,180,0.0,8.0,2022-07-01
31,2022-07-01,73.0,0,0,0,0,0,0,0,0,2022-07-01,18,0.0,72206013889,FM-16,7,30.06,73,74,0.05,-RA:02 BR:1 |RA |RA,0.0,0.0,97,97,97,0.0,FEW:02 60 FEW:02 80 BKN:07 100,30.02,5,73,150,0.0,8.0,2022-07-01
32,2022-07-01,73.0,0,0,0,0,0,0,0,0,2022-07-01,18,0.0,72206013889,FM-15,7,30.05,73,73,0.09,|RA |RA,-0.04,0.0,100,100,100,30.05,FEW:02 30 SCT:04 55 BKN:07 110,30.01,10,73,200,0.0,7.0,2022-07-01
33,2022-07-01,74.0,0,0,0,0,0,0,0,0,2022-07-01,19,0.0,72206013889,FM-12,4,0.0,73,73,0,||RA,0.04,9.0,100,100,100,30.05,26,30.02,9.94,73,200,0.0,7.0,2022-07-01
34,2022-07-01,74.0,0,0,0,0,0,0,0,0,2022-07-01,19,0.0,72206013889,FM-15,7,30.04,73,74,0.01,|RA |RA,0.0,0.0,97,97,97,30.04,FEW:02 25 FEW:02 110 BKN:07 130,30.01,10,73,140,0.0,5.0,2022-07-01
35,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,20,0.0,72206013889,FM-15,7,30.03,74,75,T,0,0.0,0.0,96,96,96,30.03,BKN:07 140 OVC:08 250,29.99,10,74,170,0.0,5.0,2022-07-01
36,2022-07-01,75.0,0,0,0,0,0,0,0,0,2022-07-01,21,0.0,72206013889,FM-15,7,30.05,74,75,0,0,0.0,3.0,96,96,96,30.05,SCT:04 120 BKN:07 250,30.01,10,74,240,0.0,3.0,2022-07-01
