,DATE,HOUR,AVG,HourlyVisibility,HourlyPrecipitation,Coverage 1,Coverage 2,Coverage 3,Layer 1,Layer 2,Layer 3,Cloud Height 1,Cloud Height 2,Cloud Height 3
0,2022-01-01,0,False,6,0,FEW,0,0,2.0,0,0,6.0,0,0.0
1,2022-01-01,0,False,6,0,BKN,0,0,7.0,0,0,6.0,0,0.0
2,2022-01-01,0,False,4,0,OVC,0,0,8.0,0,0,4.0,0,0.0
3,2022-01-01,1,False,3.73,0,5,0,0,0.0,0,0,0.0,0,0.0
4,2022-01-01,1,False,2,0,OVC,0,0,8.0,0,0,4.0,0,0.0
5,2022-01-01,1,False,2,0,OVC,0,0,8.0,0,0,4.0,0,0.0
6,2022-01-01,2,False,5,0,BKN,0,0,7.0,0,0,4.0,0,0.0
7,2022-01-01,2,False,6,0,BKN,0,0,7.0,0,0,4.0,0,0.0
8,2022-01-01,3,False,9,0,BKN,0,0,7.0,0,0,5.0,0,0.0
9,2022-01-01,3,False,9,0,BKN,0,0,7.0,0,0,5.0,0,0.0
10,2022-01-01,4,False,8.7,0,5,0,0,0.0,0,0,0.0,0,0.0
11,2022-01-01,4,False,9,0,OVC,0,0,8.0,0,0,5.0,0,0.0
12,2022-01-01,5,False,8,0,OVC,0,0,8.0,0,0,5.0,0,0.0
13,2022-01-01,6,False,8,0,OVC,0,0,8.0,0,0,5.0,0,0.0
14,2022-01-01,7,False,7.46,0,5,0,0,0.0,0,0,0.0,0,0.0
15,2022-01-01,7,False,5,0,OVC,0,0,8.0,0,0,5.0,0,0.0
16,2022-01-01,8,False,6,0,BKN,0,0,7.0,0,0,5.0,0,0.0
17,2022-01-01,9,True,6,0,SCT,0,0,4.0,0,0,4.0,0,0.0
18,2022-01-01,9,True,10,0,FEW,0,0,2.0,0,0,7.0,0,0.0
19,2022-01-01,10,True,9.94,0,8,0,0,0.0,0,0,0.0,0,0.0
20,2022-01-01,10,True,10,0,FEW,0,0,2.0,0,0,15.0,0,0.0
21,2022-01-01,11,True,10,0,FEW,0,0,2.0,0,0,25.0,0,0.0
22,2022-01-01,12,True,10,0,SCT,0,0,4.0,0,0,30.0,0,0.0
23,2022-01-01,13,True,9.94,0,26,0,0,0.0,0,0,0.0,0,0.0
24,2022-01-01,13,True,10,0,SCT,0,0,4.0,0,0,45.0,0,0.0
25,2022-01-01,14,False,10,0,SCT,0,0,4.0,0,0,49.0,0,0.0
26,2022-01-01,15,True,10,0,FEW,0,0,2.0,0,0,49.0,0,0.0
27,2022-01-01,16,False,9.94,0,41,0,0,0.0,0,0,0.0,0,0.0
28,2022-01-01,16,False,10,0,FEW,0,0,2.0,0,0,45.0,0,0.0
29,2022-01-01,17,False,10,0,FEW,FEW,0,2.0,02,0,20.0,45,0.0
30,2022-01-01,18,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
31,2022-01-01,19,False,9.94,0,0,0,0,0.0,0,0,0.0,0,0.0
32,2022-01-01,19,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
33,2022-01-01,20,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
34,2022-01-01,21,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
35,2022-01-01,22,False,9.94,0,0,0,0,0.0,0,0,0.0,0,0.0
36,2022-01-01,22,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
37,2022-01-01,23,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
38,2022-01-02,0,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
39,2022-01-02,1,False,9.94,0,0,0,0,0.0,0,0,0.0,0,0.0
40,2022-01-02,1,False,10,0,CLR,0,0,0.0,0,0,0.0,0,0.0
41,2022-01-02,2,False,10,0,SCT,0,0,4.0,0,0,11.0,0,0.0
42,2022-01-02,3,False,10,0,BKN,VC:,0,7.0,8 ,0,7.0,8,0.0
43,2022-01-02,3,False,10,0,BKN,VC:,0,7.0,8 ,0,7.0,8,0.0
44,2022-01-02,4,False,9.94,0,8,0,0,0.0,0,0,0.0,0,0.0
45,2022-01-02,4,False,9,0,SCT,KN:,0,4.0,7 ,0,9.0,8,0.0
46,2022-01-02,4,False,10,0,SCT,KN:,0,4.0,7 ,0,9.0,8,0.0
47,2022-01-02,5,False,9,0,SCT,SCT,0,4.0,04,0,11.0,20,0.0
48,2022-01-02,5,False,10,0,SCT,0,0,4.0,0,0,11.0,0,0.0
49,2022-01-02,6,False,9,0,SCT,0,0,4.0,0,0,10.0,0,0.0
50,2022-01-02,7,False,8.7,0,15,0,0,0.0,0,0,0.0,0,0.0
51,2022-01-02,7,False,8,0,SCT,SCT,0,4.0,04,0,13.0,39,0.0
52,2022-01-02,8,False,9,0,BKN,0,0,7.0,0,0,14.0,0,0.0
53,2022-01-02,8,False,10,0,SCT,0,0,4.0,0,0,14.0,0,0.0
54,2022-01-02,8,False,10,0,SCT,0,0,4.0,0,0,14.0,0,0.0
55,2022-01-02,9,False,10,0,BKN,0,0,7.0,0,0,13.0,0,0.0
56,2022-01-02,9,False,10,0,SCT,0,0,4.0,0,0,16.0,0,0.0
57,2022-01-02,9,False,10,0,SCT,0,0,4.0,0,0,16.0,0,0.0
58,2022-01-02,10,True,9.94,0,15,0,0,0.0,0,0,0.0,0,0.0
59,2022-01-02,10,True,10,0,FEW,SCT,0,2.0,04,0,21.0,29,0.0
60,2022-01-02,11,True,10,0,SCT,0,0,4.0,0,0,32.0,0,0.0
61,2022-01-02,12,True,10,0,SCT,BKN,0,4.0,07,0,38.0,50,0.0
62,2022-01-02,13,True,9.94,0,41,0,0,0.0,0,0,0.0,0,0.0
63,2022-01-02,13,True,10,0,SCT,SCT,0,4.0,04,0,40.0,50,0.0
64,2022-01-02,14,True,10,0,FEW,FEW,0,2.0,02,0,49.0,15,0.0
65,2022-01-02,15,True,10,0,FEW,FEW,0,2.0,02,0,49.0,15,0.0
66,2022-01-02,16,False,9.94,0,41,0,0,0.0,0,0,0.0,0,0.0
67,2022-01-02,16,False,10,0,FEW,FEW,0,2.0,02,0,49.0,20,0.0
68,2022-01-02,17,False,10,0,FEW,0,0,2.0,0,0,20.0,0,0.0
69,2022-01-02,18,False,10,0,FEW,0,0,2.0,0,0,20.0,0,0.0
70,2022-01-02,19,False,9.94,0,0,0,0,0.0,0,0,0.0,0,0.0
